observation_date,receipts,expenditure,interest_expenditure,gdp,govt_debt,fed_funds_rate
1/1/1947,43.401,40.902,5.352,243.164,#N/A,#N/A
4/1/1947,42.459,40.346,5.36,245.968,#N/A,#N/A
7/1/1947,41.628,42.007,5.356,249.585,#N/A,#N/A
10/1/1947,43.769,38.149,5.44,259.745,#N/A,#N/A
1/1/1948,44.047,38.915,5.476,265.742,#N/A,#N/A
4/1/1948,42.495,39.904,5.512,272.567,#N/A,#N/A
7/1/1948,41.615,42.739,5.552,279.196,#N/A,#N/A
10/1/1948,41.349,44.051,5.676,280.366,#N/A,#N/A
1/1/1949,39.928,45.908,5.784,275.034,#N/A,#N/A
4/1/1949,37.917,47.016,5.848,271.351,#N/A,#N/A
7/1/1949,37.432,46.824,5.9,272.889,#N/A,#N/A
10/1/1949,36.163,45.583,5.98,270.627,#N/A,#N/A
1/1/1950,41.366,52.902,6.052,280.828,#N/A,#N/A
4/1/1950,45.536,46.098,6.132,290.383,#N/A,#N/A
7/1/1950,51.815,42.215,6.236,308.153,#N/A,#N/A
10/1/1950,56.496,46.464,6.328,319.945,#N/A,#N/A
1/1/1951,64.509,51.8,6.432,336,#N/A,#N/A
4/1/1951,61.636,56.56,6.468,344.09,#N/A,#N/A
7/1/1951,60.883,61.393,6.552,351.385,#N/A,#N/A
10/1/1951,64.633,63.905,6.684,356.178,#N/A,#N/A
1/1/1952,64.733,63.546,6.728,359.82,#N/A,#N/A
4/1/1952,64.809,67.23,6.756,361.03,#N/A,#N/A
7/1/1952,65.28,70.056,6.852,367.701,#N/A,#N/A
10/1/1952,68.42,70.885,6.972,380.812,#N/A,#N/A
1/1/1953,70.117,71.596,7.092,387.98,#N/A,#N/A
4/1/1953,70.463,73.781,7.16,391.749,#N/A,#N/A
7/1/1953,69.534,72.127,7.28,391.171,#N/A,#N/A
10/1/1953,64.313,73.561,7.384,385.97,#N/A,#N/A
1/1/1954,61.631,71.375,7.512,385.345,#N/A,#N/A
4/1/1954,61.697,70.056,7.612,386.121,#N/A,#N/A
7/1/1954,62.331,69.904,7.704,390.996,#N/A,0.8
10/1/1954,64.384,70.683,7.756,399.734,#N/A,0.85
1/1/1955,68.333,71.276,7.752,413.073,#N/A,1.39
4/1/1955,70.302,70.836,7.732,421.532,#N/A,1.43
7/1/1955,71.967,72.676,7.968,430.221,#N/A,1.68
10/1/1955,73.688,71.777,8.232,437.092,#N/A,2.24
1/1/1956,74.193,71.909,8.304,439.746,#N/A,2.45
4/1/1956,75.571,74.834,8.648,446.01,#N/A,2.62
7/1/1956,75.386,74.181,8.916,451.191,#N/A,2.75
10/1/1956,78.22,76.822,9.512,460.463,#N/A,2.96
1/1/1957,80.415,80.058,9.46,469.779,#N/A,2.84
4/1/1957,79.894,81.446,9.78,472.025,#N/A,3
7/1/1957,79.858,81.451,9.98,479.49,#N/A,2.99
10/1/1957,77.1,84.813,10.372,474.864,#N/A,3.5
1/1/1958,73.586,83.792,9.9,467.54,#N/A,2.72
4/1/1958,73.486,88.476,9.836,471.978,#N/A,1.26
7/1/1958,76.73,89.193,10.04,485.841,#N/A,0.68
10/1/1958,80.422,90.999,10.404,499.555,#N/A,1.8
1/1/1959,84.552,89.118,11.328,510.33,#N/A,2.48
4/1/1959,88.284,90.132,10.964,522.653,#N/A,2.96
7/1/1959,86.484,90.742,11.504,525.034,#N/A,3.47
10/1/1959,87.091,92.047,11.968,528.6,#N/A,3.98
1/1/1960,95.237,90.543,13.968,542.648,#N/A,3.99
4/1/1960,93.874,92.628,13.968,541.08,#N/A,3.92
7/1/1960,93.326,93.723,13.828,545.604,#N/A,3.23
10/1/1960,91.782,96.698,13.748,540.197,#N/A,2.47
1/1/1961,91.825,96.51,13.692,545.018,#N/A,1.45
4/1/1961,93.757,100.155,13.748,555.545,#N/A,1.49
7/1/1961,95.586,100.502,13.976,567.664,#N/A,1.17
10/1/1961,99.149,102.076,14.188,580.612,#N/A,2.26
1/1/1962,100.566,105.952,14.52,594.013,#N/A,2.15
4/1/1962,102.104,107.795,14.972,600.366,#N/A,2.78
7/1/1962,104.444,109.32,15.32,609.027,#N/A,2.71
10/1/1962,105.634,111.161,15.616,612.28,#N/A,2.9
